K01369	LgmN
K09349	Hmx1 Hmx3 Hmx2
K09345	Nkx2-5
K02739	PsmB7
K02738	PsmB6
K05105	EphA4
K02732	PsmB1
K02731	PsmA8 PsmA7
K02730	PsmA6
K14688	SLC30A1
K02736	PsmB4
K02735	PsmB3
K02734	PsmB2
K03469	RnaSeh1
K03462	NamPt
K01648	AclY
K01649	-
K01640	HmgCl
K01641	HmgCs1 HmgCs2
K01647	Cs
K02599	NotCh4 NotCh1 NotCh2 NotCh3
K14066	-
K02846	-
K09754	-
K09755	-
K09756	-
K09757	-
K09753	-
K01581	Odc1
K13499	ChsY3 ChsY1
K03644	LiaS
K03645	-
K03648	Ung
K03649	Tdg
K06691	-
K06692	PsmD5
K06693	PsmD9
K06694	PsmD10
K06696	PsmE1
K06697	PsmE2
K06698	PsmE3
K06699	PsmE4
K07611	LmnB2 LmnB1
K07610	Des
K07342	Sec61g
K06969	-
K03635	MocS2
K06965	PELO
K05728	Csk
K08991	Mus81
Q96FU6	Q96FU6
SPAC25B812c	-
K05115	Axl
K05929	-
K05928	-
K05925	MetTl3
K10352	Myh2 Myh3 Myh1 Myh6 Myh15 Myh4 Myh11 Myh8 Myh9 Myh7b Myh13 Myh14 Myh10 Myh7
K00698	-
K10351	Myl2
K10356	Myo1h Myo1g Myo1f Myo1e Myo1d Myo1c Myo1b Myo1a
K10357	Myo5c Myo5b Myo5a
K10354	ActA1
K10355	-
K00340	-
K00693	Gys1 Gys2
K10358	Myo6
K10359	Myo7a Myo7b
K00696	-
K00697	-
K00695	-
K08502	-
K08503	-
K08501	Stx8
K08506	-
K08507	Use1
K05824	-
K08505	-
K08508	SnaP25 SnaP23
K08509	SnaP47 SnaP29
K00525	-
K00526	-
K00522	Fth1 FtmT
K00528	FdxR
K04463	Map2k5
K03984	SerPina1
K14216	Oas1 Oas3 Oas2
K14213	PepD
K14210	Slc3a1
K00795	-
K00794	-
K00793	-
K01346	CelA2a CelA2b
K01343	PlaT
K01341	-
K00022	HadH
K01349	FurIn
A1E282	A1E282
K02694	-
K02695	-
K02692	-
K02693	-
K02698	-
K02699	-
K00832	-
K00833	-
K00830	AgxT
K00831	PsaT1
K00838	-
K12135	-
K04443	MapKapk2
K04334	-
K04441	MapK14 MapK11 MapK12 MapK13
K01120	Pde10a Pde2a Pde7a Pde7b Pde4a Pde4b Pde4c Pde4d Pde8a Pde8b
K01127	GplD1
K01126	-
K04333	-
K04449	JunD
K01128	SmpDl3b SmpDl3a
K04338	-
K05310	PigG
K02477	-
Q562Y8	Q562Y8
Q562Y6	Q562Y6
K13073	PigR
K13071	-
K03873	TceB2
K03872	TceB1
K03870	Cul2
K03875	Skp2
K11111	TerF2
K11446	Kdm5d Kdm5a Kdm5b Kdm5c
K13299	GstK1
Q9H981	ARP8
K13291	ZccHc11 ZccHc6
K11449	Kdm3b Kdm3a JmjD1c
K03259	Eif4e Eif4e2 Eif4e1b
K03258	Eif4b
K03257	Eif4a1 Eif4a2
K03254	Eif3a
K03253	Eif3b
K03252	Eif3c
K03251	Eif3d
K03250	Eif3e
K06751	Hla-c Hla-b Hla-a Hla-g Hla-f Hla-e
K06753	RobO1
K06752	Hla-dpb1 Hla-dra Hla-drb3 Hla-drb1 Hla-drb4 Hla-drb5 Hla-dqb1 Hla-doa Hla-dob Hla-dpa1 Hla-dmb Hla-dqa1 Hla-dqa2 Hla-dma
K06757	NfaSc
K06204	-
K06759	CntN1
YDR233C	-
K11298	HmgXb4
K11299	HmgN1
K11568	-
K11290	Set
K11291	NasP
K16240	-
K11561	-
K11294	Ncl
K11295	HmgB2
K11296	HmgB3
K11565	Oip5
K00759	AprT
K00758	TymP
K00750	Gyg1 Gyg2
K00757	Upp2 Upp1
K00754	-
Q59FV6	Q59FV6
K06478	PtpRc
K07151	Stt3b Stt3a
K07407	-
K07404	-
K07400	-
K01809	Mpi
K01800	-
K01802	-
K01803	Tpi1
K01804	-
K01805	-
K01807	RpiA
K05127	Ptk7
K08339	Atg5
K08331	-
K08330	-
K08333	Pik3r4
K08332	-
K08334	BecN1
K08337	Atg7
K08336	Atg12
K01667	-
K01661	-
K01662	-
K01663	-
K01669	-
K02863	-
K02861	RipK1
K02867	-
K02866	Rpl10l Rpl10
Q6PJ43	Q6PJ43
K02864	-
K02868	Rpl11
K14008	ErlEc1
K14009	BcaP31
YGL061C	-
K14002	-
K14003	PreB
K14000	RrbP1
K14001	Sil1
K14006	Sec23a Sec23b
K14007	Sec24d Sec24a Sec24c Sec24b
K14004	Sec13
K14005	Sec31b Sec31a
YOL155C	-
b4255	-
K03403	-
K03407	-
K03404	-
K03405	-
K03408	-
K12818	Dhx8
K05746	EnaH
K02310	DffA
K02313	-
K02318	CoaSy
K12156	-
K12405	Hsd17b4
K12154	-
K12155	-
K12400	Ap4E1
K12401	Ap4B1
K12403	Ap4S1
K12409	Gne
K12158	NedD8
K12159	Isg15
K07367	CarD11
K07365	Nck1 Nck2
K07361	Lcp2
MPN141	-
K07369	MalT1
K07368	Bcl10
K07091	-
K07899	Rab9a
K11173	AdhFe1
K07891	Rab22a
K07890	Rab21
K07893	Rab6a
K07892	Rab31
K07894	Rab6b
K07897	Rab7a
K00322	-
A0AUL6	A0AUL6
K00326	Cyb5r3 Cyb5r2 Cyb5r1
K00327	Por
K00324	-
K00325	-
K05940	CroT
K00328	IpmK
K10378	BfsP1
K06941	-
K10808	Rrm2b Rrm2
K06943	GTPBP4
K10374	Tpm2
K10807	Rrm1
K10804	-
K10805	-
K10802	HmgB1
K10803	XrcC1
K10800	SmuG1
K10801	Mbd4
K08529	RarG
K08524	RxrA
K08527	RarA
K08520	Sec22c Sec22a
K01044	Ces1 Ces5a
K01045	Pon1 Pon3 Pon2
I3L3R2	I3L3R2
K04567	KarS
GluQ	-
K14270	-
K04569	Ccs
K01322	PreP
K01325	Klk1 Klk2
K01326	CelA1
K02678	Ets2 Ets1
K02677	PrkCa PrkCb PrkCg
K00813	Got2 Got1
K00814	Gpt Gpt2
K00815	Tat
K00816	CcbL1 CcbL2
K00817	-
K00818	-
K00819	Oat
Q53G76	Q53G76
K00129	AldH3b2 AldH3b1 AldH3a1 AldH1a3
K03331	DcxR
K01493	DctD
K01491	-
K01490	AmpD3 AmpD2 AmpD1
K01497	-
K01495	Gch1
K14494	-
K14497	-
K14496	-
K14491	-
K14490	-
K14492	-
K02410	-
K02411	-
K14499	-
K02417	-
K00430	-
K13728	Mad2l2
K13051	AsrGl1
K13720	NaaA
K13721	-
K06133	AasDhppt
K13413	-
SPCC1739.11c	-
K03239	Eif2b1
K03238	Eif2s2
K03231	Eef1a1 Eef1a2
K03233	Eef1g
K03232	Eef1d Eef1b2
K03235	-
K03234	EftUd1 Eef2
K03237	Eif2s1
K03236	Eif1ax Eif1ay
K09493	Tcp1
K09491	HspA13
K09490	HspA5
K09497	Cct5
K09496	Cct4
K09495	Cct3
K09494	Cct2
K09499	Cct7
K09498	Cct6a Cct6b
K12899	SrsF11
K12898	HnrNph1 HnrNpf HnrNph3 HnrNph2
K12897	Tra2a Tra2b
K12896	SrsF7
K12895	RalY
K12894	HnrNpa0
K12893	SrsF5 SrsF4 SrsF6
K12892	SrsF3
K12235	Srr
K12890	SrsF1 SrsF9
K11768	-
K11501	CenPi
K11760	-
K11761	-
K11762	-
K11763	-
K11764	-
K11765	AriD2
K11766	-
K11767	-
K13948	PtgR1
K13949	PtgR2
K13941	-
K13946	-
K06778	PtpRs
K06773	IglOn5 OpcMl
K06772	LsaMp
K06770	Mpz MpzL1
K06777	PtpRd
K06776	PtpRk
K06775	NegR1
K06774	Ntm
K13421	UmpS
K04959	ItpR2
K04958	ItpR1
K05668	AbcC5
K10498	ZbtB11
K10491	ZbtB4
K10490	ZbtB3
K10494	ZbtB7a ZbtB7c ZbtB7b
K10497	ZbtB10
K11816	-
K11545	Nsl1
K11546	Pmf1
K11547	Ndc80
K11540	Cad
K11813	-
K11542	CasC5
K07420	Cyp2s1
K07423	Cyp2w1
K07424	Cyp3a43 Cyp3a7 Cyp3a4 Cyp3a5
K11549	Spc24
K07426	Cyp4b1
K07427	Cyp4v2
K10143	RfwD2
K10142	SteAp3
K10141	SesN1 SesN2 SesN3
K10636	AmfR
K10147	Ppm1d
K10630	RbcK1
K10633	Pja1
K10144	RchY1
K10638	UhrF1
K01866	YarS2 YarS
K01867	WarS2 WarS
K01868	TarS TarS2 TarSl2
K01869	LarS LarS2
K15044	AGFG1
K15047	HNRNPUL1
K15046	IVNS1ABP
K15516	FMR1 FXR1 FXR2
K15043	KPNA2
K15042	KPNA1
K06149	-
K09664	B3gNt7
K06145	-
K06140	-
K04764	-
K04761	-
K05146	TnfRsf9
K05149	TnfRsf12a
K14649	TAF8
K14398	CPSF7 CPSF6
K14399	CLP1
K14396	PABPN1
K14397	NUDT21
K01689	Eno1 Eno2 Eno3
K01686	-
K01687	-
K01682	-
K01681	Aco1 Aco2
K14024	-
K14025	SelS
K14026	Sel1l
K14027	HerPud1
K14020	Wfs1
K02888	-
K14022	-
K14023	-
K02885	Rpl19
K02884	-
K02887	-
K02886	-
K02881	-
K02880	Rpl17
K02883	Rpl18
K02882	Rpl18a
I3L3I0	I3L3I0
K02085	Apc2 Apc
K02084	ApaF1
K02087	Cdk1
K02089	Cdk4
K03428	-
K03938	NduFs5
K03939	NduFs6
K03936	NduFs3
K03937	NduFs4
K03934	NduFs1
K03935	NduFs2
K12394	Ap1S1 Ap1S2
K12396	Ap3D1
K12397	Ap3B1 Ap3B2
K12391	Ap1G1
K12392	Ap1B1
K12393	Ap1M2 Ap1M1
K12398	Ap3M1 Ap3M2
K12399	Ap3S2 Ap3S1
K02338	-
K02335	-
K02333	PolG2
K02332	PolG
K02331	MybBp1a
K02330	PolB
SPAC3C714c	-
K01526	-
K03688	-
K03680	Eif2b4
K03681	ExoSc3
K03685	DroSha
K03686	-
K03687	GrpEl1 GrpEl2
K12170	Rnf125
K12171	Sh3Rf1
K12172	RanBp2
K12173	Bre
K12174	UbaC1
K12175	Gps1
K12176	CopS2
K12177	CopS3
K12178	CopS4
K12179	CopS6
K05646	AbcA12
K07305	-
K07304	MsrA
K02960	Rps16
YHR211W	-
YJL042W	-
K03118	-
I3L4N8	I3L4N8
K09687	-
K09680	PanK1 PanK3 PanK2 PanK4
K08565	NapSa
K11157	PnpLa4
K11155	DgaT1
K11152	Rdh11
K00658	DlsT
K00656	-
K00657	Sat1 Sat2
K00654	SptLc2 SptLc3 SptLc1
K00655	-
K00651	-
K11600	ExoSc4
K08574	CapN5
b3336	-
K01303	ApeH
K01301	NaaLad2 NaaLadl1 FolH1
K06547	AlcAm
K01307	Ggh
K01304	PgpEp1
K05689	Cdh1
K09556	Bag2
K05681	AbcG2
K05687	ParK7
K00878	-
K00872	-
K00873	Pkm2
K00871	PhkG2 PhkG1
K00876	Uck1 Uck2 UckL1
K00877	-
K00874	-
K04487	Nfs1
K04486	-
K04482	Rad51
K08790	Stk38 Stk38l
K04378	Srf
K04371	MapK3 MapK1
K04370	MapKsp1
K04373	Rps6ka1 Rps6ka2 Rps6ka3 Rps6ka6
K05463	EfnB2 EfnB3 EfnB1
K13708	DocK1
K13709	ArhGap5
K13691	-
K13700	AbhD6
K13702	AbhD10
K13703	AbhD11
K13704	AbhD12
K13706	AbhD14a AbhD14b
K14168	Ctu1
K05464	Gas6
K01824	Ebp
YER150W	-
K09516	RetSat
K09517	DnaJb11
K09515	DnaJb9
K09512	DnaJb6
K09510	DnaJb4
K09511	DnaJb5
K09518	DnaJb12
K02434	-
K05355	-
K05356	-
K05425	Il12b
K05350	Gba3
K02433	-
C9JZR7	C9JZR7
K02438	-
K05359	-
K08108	Gpc2
K03211	Etv7 Etv6
K03210	-
K03217	Oxa1l
K03214	-
K09841	-
K09479	AcaDvl
K09478	AcaDsb
K09475	-
K09476	-
K02147	Atp6v1b1 Atp6v1b2
K13960	Ube2t
K13963	SerPinb10 SerPinb13 SerPinb9 SerPinb1 SerPinb3 SerPinb2 SerPinb4 SerPinb6
K09848	TraF4
K09849	TraF5
K00734	B3gAlt6
Aim36	-
C9JFL5	C9JFL5
YOR257W	-
K04979	TrpM4
K04973	TrpV4
K11703	Glt25d2 Glt25d1
K03028	PsmD2
K12615	Edc3
K12614	Ddx6
K12617	PatL1
K12616	Edc4
K12611	Dcp1b
K12610	Dcp1a
K12613	Dcp2
K12612	-
K12619	Xrn2
K12618	Xrn1
K07442	TrmT61a
K07441	Alg14
K03029	PsmD4
K11830	TfaM
K11831	Nrf1
K11832	Usp1
K11835	Usp11 Usp4 Usp15
K11836	Usp13 Usp5
K11837	Usp32 Usp6
K11838	Usp7
K11839	Usp8
K10615	HerC4
K10613	Cul7
K10612	Cul5
K10610	Ddb1
K01845	-
K01847	Mut
K01840	Pmm2 Pmm1
F5H3P5	F5H3P5
K15397	-
K15399	-
K15398	-
K08483	-
K08486	Stx3 Stx1b Stx2
K08484	-
K08489	Stx16
K08488	Stx7
K00461	AloX5
K00463	Ido2 Ido1
K00469	MioX
K04742	ChsT12
K01518	NudT2
K01519	ItpA
K01516	-
K01514	PruNe
K01515	-
K01512	AcyP1 AcyP2
K01513	EnpP3 EnpP1
K01510	EntPd3 EntPd1 EntPd8
K01511	EntPd6 EntPd5
K05168	Il17re
K13416	-
K03910	A2m
K03911	SerPinc1
K03914	F2r
K03917	F13A1
K12372	-
K12373	HexA HexB
K12371	-
K02358	TufM
K02350	Rev3l
K02353	Dvl2 Dvl3 Dvl1
K02355	Gfm1 Gfm2
K02357	TsfM
K02356	-
K13578	BmpR1b
K13577	Slc25a10
K13575	Slc4a4
K13574	-
P68032	-
K12118	-
K12119	-
K12116	-
K08548	Nr2F2
K07320	-
K03006	PolR2a
K03007	PolR2l
K03004	TWISTNB
K03005	PolR1e
K03002	PolR1b
K03003	-
K03000	ZnrD1
K03001	-
K03008	PolR2j PolR2j2 PolR2j3
K03009	PolR2k
K05641	AbcA1
K01135	ArsB
K04456	Akt1 Akt2 Akt3
K06180	-
K06183	-
K06638	Mad1l1
K06639	Cdc14b Cdc14a
K06636	Smc1a Smc1b
K06637	Bub1b
K06634	CcnH
K06635	PttG1 PttG2
K06632	Wee2 Wee1
K06633	PkmYt1
K06630	YwhAz YwhAq YwhAh YwhAb YwhAg YwhAe
K06631	Plk1
K07859	Rnd3
K07589	-
K07588	MmaA
K07857	RhoC
K07856	RhoB
K11139	-
K11138	Rif1
K11131	Dkc1
K11130	Nop10
K11132	-
K11135	PinX1
K11134	-
K11137	TelO2
K10842	MnaT1
K10843	ErcC3
K10840	CetN2
K10841	ErcC6
K10846	ErcC5
K10847	Xpa
K10844	ErcC2
K10845	Gtf2h5
K00670	Naa15 Naa30 Naa20 Naa10 Naa11
K00671	Nmt2 Nmt1
K10848	ErcC4
K10849	ErcC1
K00674	-
K00677	-
K05103	EphA2
K05102	EphA1
P63267	ACTH
K13830	-
K02444	-
K00586	Dph5
K00587	IcmT
K00588	-
K00589	-
K10735	GinS4
K03032	PsmD1
b2665	-
K10265	FbxW9
K10263	FbxW5
K10261	FbxW2
K10268	FbxL2 FbxL20
K10738	Mcm9
K00015	GrhPr
K01988	A4gAlt
K00854	XylB
K00855	-
K00856	Adk
K00857	Tk2 Tk1
K00850	PfkM PfkL PfkP
K00851	-
K00852	RbkS
K00858	NadK
K00859	-
K04353	Rap1a
K04352	RasA1
K01183	ChiT1 ChiA Chi3l1
K01184	-
K01187	-
K01186	Neu1
K01189	Gla
K01188	-
K04358	Fgf19 Fgf18 Fgf13 Fgf12 Fgf11 Fgf10 Fgf17 Fgf16 Fgf14 Fgf9 Fgf8 Fgf7 Fgf6 Fgf5 Fgf4 Fgf3 Fgf2 Fgf1 Fgf22 Fgf23 Fgf20 Fgf21
K15728	LPIN2 LPIN3 LPIN1
K03868	Rbx1
K02984	Rps3a
K02633	Per3 Per2 Per1
K02986	-
K02987	Rps4x Rps4y1
K02980	Rps29
K02981	Rps2
K02982	-
K08291	Grk6 Grk4 Grk5
K02638	-
K02639	-
K02988	-
K02989	Rps5
K03580	-
K03585	-
K01725	-
K01724	PcbD2 PcbD1
K01720	-
K01723	-
K01728	-
K09530	DnaJc10
K09531	DnaJc11
K09533	DnaJc13
K09535	DnaJc15
K09536	DnaJc16
K09537	DnaJc17
K09539	DnaJc19
K05400	Ly96
C9JTX5	C9JTX5
K08122	Lum
K08123	KerA
K08125	PreLp
K08126	Ogn
K05407	Pf4V1 Pf4
K02186	CasP2
K02187	CasP3
K02180	Bub3
K02183	CalM2 CalM3 CalM1 CalMl3 CalMl6 CalMl5
K13186	Rbm3
K13187	Rbm4b Rbm4
K13184	Dhx9
K13185	Dhx30
K13182	Ddx39
K13183	Ddx50
K03769	-
K03768	PpiB
K03767	PpiA
K03764	-
K13188	Rbm7
K13189	Rbm14
K09454	GabPb2 GabPb1
K09450	-
K09458	OxsM
K00602	AtiC
K13988	NudT9
K13989	DerL2 DerL3
K13987	NudT5
K13984	TxnDc5
K13981	Akr1e2
P0CG39	POTEJ
P0CG38	POTEI
K12585	Dis3
K12584	DcpS
K12587	ExoSc6
K12586	ExoSc8
K12581	CnoT8 CnoT7
K12580	CnoT3
K12589	ExoSc7
K12588	-
K11728	BptF
K11725	LhpP
K11727	SmaRca1
K11720	-
K11721	Brd3
K11722	Brd4
K11723	Brd7 Brd9
K10459	KlhL22
K06840	SemA3a SemA3c SemA3b SemA3e SemA3d SemA3g SemA3f
K06843	Ntn1
K10455	KlhL18
K10456	KeaP1
K06848	HapLn1
K10981	-
K10980	NheJ1
K12637	-
K07466	Rpa1
K11588	MecP2
K11589	Mbd1
K11858	Usp48
K11859	TnfAip3
YNL322C	-
K11852	Usp31
K11581	SgoL2
K11850	Usp26 Usp29 Usp37
K11583	Ppp2r3b Ppp2r3c Ppp2r3a
K11856	Usp43
K11585	Cbx1
K11586	Cbx3
K11855	Usp36 Usp42
K10679	-
K10678	-
K08726	EphX2
F8WB63	F8WB63
K08722	-
K08729	PtdSs1
K08469	Gpr158
K08468	GprC5a
K08467	Gpr157
K00117	-
K00111	Gpd2
K00441	-
K01538	FxyD2
K01539	Atp1a4 Atp1a3 Atp1a2 Atp1a1
K04728	Atm
K04729	Myd88
K01530	Atp11a Atp8a2 Atp10a Atp8a1 Atp10d Atp8b3 Atp8b2 Atp8b1 Atp11c Atp11b Atp9a Atp8b4 Atp9b
K01533	Atp7a Atp7b
K04726	Bid
K04727	AifM1
K01537	Atp2c2 Atp2c1
K14609	SLC19A1
K14358	ScrN3 ScrN2 ScrN1
YHR172W	-
K15919	-
K15918	-
K15917	-
B4DWQ5	B4DWQ5
b1004	-
K06642	PrkDc
YOR009W	-
Q8IY98	Q8IY98
K13379	-
K13378	-
K13375	TgfB1
K13374	-
K13376	TgfB2
K13373	Hsd17b7
K02373	FadD
K02372	-
K02370	ExtL3
K02377	TstA3
K12350	SmpD1
K12351	SmpD2
K12353	SmpD4
K12355	-
K12356	-
K13519	-
K13511	Taz
K13510	LpcAt2 LpcAt1
K13513	LclAt1
K13512	LpcAt4
K13515	LpcAt3
K13514	LpgAt1
K13517	MboAt2 MboAt1
K13516	MboAt7
AT1G18590	-
K03392	AcmSd
K03020	PolR1d
K03021	PolR3b
K03022	PolR3h
K03023	PolR3c
K03024	PolR3g PolR3gl
K03025	PolR3f
K03026	PolR3d
K03027	PolR1c
K08915	-
K08914	-
K08917	-
K08916	-
K08911	-
K08910	-
K08913	-
K08912	-
K06618	Rb1
K06619	Abl1
K12130	-
K12131	-
K12132	-
K12133	-
K06611	-
Q562Y4	Q562Y4
Q562Y3	Q562Y3
K06617	-
K11113	TerF2ip
K11112	TinF2
K11447	Uty Kdm6a
K11110	TerF1
K11115	-
K11114	Acd
K11118	-
K16329	-
K00613	GatM
K00610	-
K00611	Otc
K00616	TalDo1
K00615	TktL1 Tkt TktL2
K00618	-
K00619	-
K06474	Cd34
K08446	Cd97
K10864	Pms1
K10865	Mre11a
K10866	Rad50
K10867	Nbn
K10860	AlkBh3
K10862	Tdp1
K10863	AptX
K04572	NefL
K04571	Ssr4
K07877	Rab2a
K07876	Rab35
K07875	Rab1b
K07874	Rab1a
K07872	RhoF
K07870	RhoT1
b3510	-
K07879	Rab4a
K07878	Rab2b
K01054	MglL
K10244	EloVl5
K10245	-
K10246	-
K10247	EloVl1
Q1KLZ0	Q1KLZ0
K04124	-
K05514	Ccl1 Ccl14 Ccl16 Ccl17 Ccl18 Ccl20 Ccl22 Ccl24 Ccl26
K02501	-
K01953	AsnS
K04122	-
K08061	Rfx5
Q6S8J3	POTEE
K15746	-
K15747	-
K15744	-
K00428	-
K15748	-
K06746	Cd276
K02968	-
K02969	Rps20
K02966	Rps19
K02967	-
K02964	Rps18
K02965	-
K02962	Rps17
K02963	-
K05640	GfaP
K02961	-
K03569	-
K03568	-
K03564	-
K03563	-
K01705	-
K01704	-
K01703	-
K01702	-
K09558	Bag4
K09559	Bag5
K09553	StiP1
K09550	PfdN4
K09551	ClgN
YGL075C	-
K09557	Bag3
K09554	Cdc37
K09555	Bag1
K14165	Epm2a DusP12 StyXl1 PtpMt1 DupD1 DusP28 DusP13 DusP19 DusP18 DusP15 DusP21 DusP23 DusP11 DusP26 DusP27
K14164	-
K14167	CdkN3
K14163	EprS
K08142	Slc2a3
K05391	-
K05393	-
K14169	Ctu2
K08147	Slc2a10
K05396	-
K13414	-
K13143	IntS6
K03701	-
K03702	-
YPL124W	-
K03704	-
K13417	-
K09434	Erf
K12839	SmnDc1
K12838	Puf60
K12835	Ddx42
K12834	Phf5a
K12837	U2aF2
K12836	U2aF1
K12831	Sf3B4
K12830	Sf3B3
K12833	Sf3B14
K12832	Sf3B5
K15348	PLEKHM2
K11669	Ino80e
K15759	IMPAD1
K06866	-
K06861	-
K12659	-
K12651	Azi2
K12650	TanK
K12653	NlrX1
K12655	OtuD5
K12657	AldH18a1
K12656	SikE1
K11874	-
K11875	PsmG1
K11876	PsmG2
K11877	PsmG3
K11870	-
K11871	-
K11872	-
K11873	-
K11878	PsmG4
K11879	-
YGR279C	-
K08707	DntTip1
K10473	KbtBd5 KbtBd10
K10472	KbtBd4
K10470	KbtBd2
YMR006C	-
K11307	MysT2
K11304	Kat5
K11303	Hat1
K11300	HmgN2
K11301	HmgN3
K11308	MysT1
K11309	-
K00137	-
K00135	-
K00134	GapDh
K00133	-
K00131	-
K00130	-
K00139	AldH5a1
SPCC122302	-
K10652	TriM25
K10651	TriM21
K10654	TriM55
K00420	UqcR11
K00423	-
K00425	-
K00426	-
K14291	PhaX
K14376	PAPOLG PAPOLA
K15979	SND1
K15978	AKAP8L
K14085	AldH7a1
SPAP8A3.08	-
K04705	StaM2 StaM
K04706	PiaS2 PiaS3 PiaS1 PiaS4
K04707	CblC CblB Cbl
K01556	KynU
K01557	FAHD1
K01555	Fah
K04708	KdsR
K04709	-
K05077	Il13ra2
B4DUI8	B4DUI8
K13356	Far1 Far2
K13355	NudT19
K13354	Slc25a17
K03959	NduFb3
K03954	NduFa10
K03955	NduFab1
K03956	NduFa11
K03957	NduFb1
K03950	NduFa6
K03951	NduFa7
K03952	NduFa8
K13358	Slc9a3r2
K13681	-
K13680	-
K02399	-
K02398	-
K02397	-
K02396	-
K02393	-
K13536	MarCksl1
K13535	-
